################################################################################
# ID   Description                                                             #
# 1    e+Ar(1S0)->e+Ar(1S0),Elastic                                            #
# 2    e+Ar(1S0)->e+Ar(eff),Excitation                                         #
# 3    e+Ar(1S0)->e+e+Ar(+,gnd),Ionization                                     #
#                                                                              #
# *** Extra rate coefficients ***                                              #
#                                                                              #
# ID   Description                                                             #
################################################################################

RedField(Td)          R1_ine(m^3s^-1)       R2_ine(m^3s^-1)       R3_ine(m^3s^-1)       
+1.00000000000000e-03 2.16939165123561e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.14975699539774e-03 2.13936460808849e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.32194114846603e-03 2.09818283142062e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.51991108295293e-03 2.04236623413631e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.74752840000768e-03 1.96850857157210e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.00923300256505e-03 1.87465156998467e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.31012970008316e-03 1.76115855634899e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.65608778294669e-03 1.63230339791613e-15  0.00000000000000e+00  0.00000000000000e+00  
+3.05385550883342e-03 1.49724189432901e-15  0.00000000000000e+00  0.00000000000000e+00  
+3.51119173421513e-03 1.36826015830150e-15  0.00000000000000e+00  0.00000000000000e+00  
+4.03701725859655e-03 1.25678397657753e-15  0.00000000000000e+00  0.00000000000000e+00  
+4.64158883361278e-03 1.17170529580965e-15  0.00000000000000e+00  0.00000000000000e+00  
+5.33669923120631e-03 1.11680365313667e-15  0.00000000000000e+00  0.00000000000000e+00  
+6.13590727341317e-03 1.09212551885012e-15  0.00000000000000e+00  0.00000000000000e+00  
+7.05480231071865e-03 1.09525667168883e-15  0.00000000000000e+00  0.00000000000000e+00  
+8.11130830789687e-03 1.12316814597076e-15  0.00000000000000e+00  0.00000000000000e+00  
+9.32603346883220e-03 1.17327353244529e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.07226722201032e-02 1.24368262843972e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.23284673944207e-02 1.33341944176860e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.41747416292680e-02 1.44229595223253e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.62975083462064e-02 1.57072356737721e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.87381742286038e-02 1.71972664948645e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.15443469003188e-02 1.89079375068023e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.47707635599171e-02 2.08577538368046e-15  0.00000000000000e+00  0.00000000000000e+00  
+2.84803586843580e-02 2.30690219351360e-15  0.00000000000000e+00  0.00000000000000e+00  
+3.27454916287773e-02 2.55672777537442e-15  0.00000000000000e+00  0.00000000000000e+00  
+3.76493580679247e-02 2.83821618165190e-15  0.00000000000000e+00  0.00000000000000e+00  
+4.32876128108306e-02 3.15465053693389e-15  0.00000000000000e+00  0.00000000000000e+00  
+4.97702356433211e-02 3.50968419163484e-15  0.00000000000000e+00  0.00000000000000e+00  
+5.72236765935022e-02 3.90725828234062e-15  0.00000000000000e+00  0.00000000000000e+00  
+6.57933224657568e-02 4.35158248741310e-15  0.00000000000000e+00  0.00000000000000e+00  
+7.56463327554629e-02 4.84717936768213e-15  0.00000000000000e+00  0.00000000000000e+00  
+8.69749002617783e-02 5.39884379537561e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.00000000000000e-01 6.01188534606787e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.14975699539774e-01 6.69223376826914e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.32194114846603e-01 7.44650825825112e-15  0.00000000000000e+00  0.00000000000000e+00  
+1.51991108295293e-01 8.28205018496493e-15  0.00000000000000e+00  0.00000000000000e+00  
